address,port,country,city,speed,type,anonymity
157.245.63.182,8118,Singapore,,1680 ms,HTTP,High
185.186.77.244,80,United Kingdom  London,,380 ms,HTTP,High
217.61.123.35,3128,Italy  Arezzo,,720 ms,HTTP,Medium
31.146.31.182,3128,Georgia  Tbilisi,,860 ms,HTTP,Medium
89.40.48.186,8080,Kazakstan,,5100 ms,HTTP,High
202.77.120.38,59764,Indonesia  Jakarta,,2320 ms,HTTP,High
185.99.64.75,52452,Czech Republic  Mohelnice,,2260 ms,HTTP,High
83.219.1.80,36900,Russian Federation  Barda,,3280 ms,HTTP,High
179.189.225.58,41881,Brazil  Pindamonhangaba,,1840 ms,HTTP,High
144.217.118.206,8080,Canada  Beauharnois,,1540 ms,HTTP,Medium
150.109.148.16,3128,Hong Kong,,5100 ms,HTTP,No
185.138.69.110,39274,Czech Republic  Nachod,,5080 ms,HTTP,High
87.244.182.241,8080,Ukraine  Poltava,,5100 ms,HTTP,No
178.219.175.128,44010,Ukraine  Simferopol,,5100 ms,HTTP,High
156.54.63.245,8080,Italy  Spoleto,,5100 ms,HTTPS,High
93.116.185.57,53965,Moldova,,5100 ms,HTTP,High
89.232.202.108,3128,Russian Federation,,540 ms,HTTP,High
109.167.207.72,8080,Russian Federation  St Petersburg,,4060 ms,HTTP,No
198.98.54.241,8080,United States  Buffalo,,4000 ms,HTTP,No
162.243.108.129,8080,United States  New York,,3460 ms,HTTP,High
52.179.231.206,80,United States  Boydton,,1100 ms,HTTP,High
198.232.160.7,8080,United States  Azle,,660 ms,HTTP,No
67.205.149.230,3128,United States  New York,,620 ms,HTTP,High
162.243.107.120,8080,United States  New York,,4440 ms,HTTP,High
45.55.23.78,3128,United States  San Francisco,,780 ms,HTTP,High
67.205.174.209,8080,United States  North Bergen,,1300 ms,HTTP,High
138.197.222.35,3128,United States  Santa Clara,,1360 ms,HTTP,High
198.199.119.119,8080,United States  San Francisco,,1740 ms,HTTP,High
138.68.240.218,3128,United States  Santa Clara,,780 ms,HTTP,High
67.205.132.241,8080,United States  North Bergen,,600 ms,HTTP,High
198.199.120.102,8080,United States  New York,,1080 ms,HTTP,High
45.55.23.78,8080,United States  San Francisco,,780 ms,HTTP,High
83.103.193.74,13192,Romania  Berceni,,400 ms,"HTTP, SOCKS4, SOCKS5",High
85.186.98.158,39179,Romania  Bucharest,,420 ms,"HTTP, SOCKS4, SOCKS5",High
192.176.54.209,31068,Sweden  Boden,,240 ms,"HTTP, SOCKS4, SOCKS5",High
91.231.211.42,41285,Romania  Ramnicu Sarat,,300 ms,"HTTP, SOCKS4, SOCKS5",High
109.75.145.152,15392,Czech Republic  Prague,,380 ms,"HTTP, SOCKS4, SOCKS5",High
189.240.124.61,8080,Mexico  Mexico City,,5040 ms,"HTTP, HTTPS",No
190.187.253.124,3128,Peru  Lima,,4680 ms,HTTPS,High
180.210.201.55,3129,Singapore  Singapore,,1640 ms,"HTTP, HTTPS",No
178.128.99.255,44344,Singapore,,1200 ms,"HTTP, HTTPS",High
200.255.122.170,8080,Brazil  São Paulo,,2360 ms,HTTP,Low
51.158.186.242,8811,France  Paris,,1340 ms,HTTP,No
163.172.189.32,8811,France,,280 ms,HTTP,No
51.158.99.51,8811,France  Paris,,260 ms,HTTP,No
163.172.152.52,8811,France,,260 ms,HTTP,No
163.172.190.160,8811,France,,240 ms,HTTP,No
51.158.123.250,8811,France  Paris,,240 ms,HTTP,No
51.158.172.165,8811,France  Paris,,240 ms,HTTP,No
103.251.57.23,60083,India  Kalol,,5100 ms,HTTP,High
118.70.144.77,3128,Vietnam  Hanoi,,1120 ms,"HTTP, HTTPS",No
118.174.211.220,11,Thailand  Bangkok,,1540 ms,"HTTP, HTTPS",No
176.53.40.222,3128,Turkey,,1460 ms,HTTP,No
80.187.140.26,8080,Germany,,1360 ms,HTTP,High
163.172.154.72,8811,France,,500 ms,HTTP,No
172.80.253.50,3128,Iran,,880 ms,HTTP,No
163.172.146.119,8811,France,,720 ms,HTTP,No
51.158.108.135,8811,France  Paris,,240 ms,HTTP,No
163.172.136.226,8811,France,,240 ms,HTTP,No
51.158.114.177,8811,France  Paris,,260 ms,HTTP,No
51.15.76.119,3128,Netherlands,,5100 ms,HTTPS,High
84.47.136.146,8080,Russian Federation  Moscow,,3440 ms,HTTP,No
195.78.112.235,30944,Ukraine,,5100 ms,HTTP,High
136.243.47.220,3128,Germany,,3540 ms,HTTP,No
93.76.211.56,50743,Ukraine  Kharkiv,,5100 ms,HTTP,High
193.106.94.106,8080,Russian Federation  Dzerzhinskiy,,2460 ms,HTTP,No
94.189.132.47,8080,Serbia  Belgrade,,4780 ms,HTTP,No
79.175.109.38,6666,Serbia  Belgrade,,5100 ms,HTTP,No
138.197.157.44,3128,Canada  Toronto,,3160 ms,HTTP,High
138.197.157.44,8080,Canada  Toronto,,3160 ms,HTTP,High
138.197.157.60,3128,Canada  Toronto,,4840 ms,HTTP,High
138.197.157.60,8080,Canada  Toronto,,4820 ms,HTTP,High
138.197.222.35,8080,Canada  Toronto,,1360 ms,HTTP,High
138.197.145.103,3128,Canada  Toronto,,1800 ms,HTTP,High
138.197.145.103,8080,Canada  Toronto,,1800 ms,HTTP,High
138.197.157.45,8080,Canada  Toronto,,1100 ms,HTTP,High
138.197.157.45,3128,Canada  Toronto,,1060 ms,HTTP,High
51.91.212.159,3128,France,,1460 ms,HTTP,No
188.156.240.240,8118,Hungary  Szeged,,3920 ms,HTTPS,High
139.59.64.9,8080,India  Bengaluru,,820 ms,HTTP,High
188.226.141.211,8080,Netherlands,,4500 ms,HTTP,High
82.196.11.105,8080,Netherlands  Amsterdam,,960 ms,HTTP,High
